days after immunization,transferred cells,cells
2,5000,2538
2,5000,3948
2,5000,1958
3,5000,10724
3,5000,12083
6,5000,10227
6,5000,15016
7,5000,29579
7,5000,40148
7,5000,10864
7,5000,12984
7,5000,7423
7,5000,14624
7,5000,10400
7,5000,22450
7,5000,11092
7,5000,2760
7,5000,352
7,5000,110003
7,5000,83395
7,5000,82917
7,5000,35199
7,5000,73685
10,5000,3192
10,5000,6073
2,500000,334956
2,500000,308923
2,500000,278578
3,500000,231152
3,500000,238408
6,500000,90147
6,500000,42632
7,500000,332945
7,500000,406191
7,500000,295591
7,500000,133878
7,500000,77208
7,500000,39769
7,500000,90704
7,500000,96321
7,500000,159015
7,500000,159151
7,500000,414362
7,500000,126693
7,500000,267826
7,500000,504194
7,500000,545211
7,500000,317090
7,500000,579976
10,500000,123574
10,500000,133618
